source_symbol,source_organism,ensg,ortholog_ensg,target_symbol,target_organism,description
HN1,human,,,,mouse,
BCAT2,human,ENSG00000105552,ENSMUSG00000030826,Bcat2,mouse,"branched chain aminotransferase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:1276534]"
UROD,human,ENSG00000126088,ENSMUSG00000028684,Urod,mouse,uroporphyrinogen decarboxylase [Source:MGI Symbol;Acc:MGI:98916]
PTX3,human,ENSG00000163661,ENSMUSG00000027832,Ptx3,mouse,pentraxin related gene [Source:MGI Symbol;Acc:MGI:104641]
OSBP,human,ENSG00000110048,ENSMUSG00000024687,Osbp,mouse,oxysterol binding protein [Source:MGI Symbol;Acc:MGI:97447]
C14orf166,human,ENSG00000087302,ENSMUSG00000021807,Rtraf,mouse,"RNA transcription, translation and transport factor [Source:MGI Symbol;Acc:MGI:1915295]"
SLC22A18,human,ENSG00000110628,ENSMUSG00000000154,Slc22a18,mouse,"solute carrier family 22 (organic cation transporter), member 18 [Source:MGI Symbol;Acc:MGI:1336884]"
LYPLA1,human,ENSG00000120992,ENSMUSG00000025903,Lypla1,mouse,lysophospholipase 1 [Source:MGI Symbol;Acc:MGI:1344588]
ASNS,human,ENSG00000070669,ENSMUSG00000029752,Asns,mouse,asparagine synthetase [Source:MGI Symbol;Acc:MGI:1350929]
WIPF1,human,ENSG00000115935,ENSMUSG00000075284,Wipf1,mouse,"WAS/WASL interacting protein family, member 1 [Source:MGI Symbol;Acc:MGI:2178801]"
GOT2,human,ENSG00000125166,ENSMUSG00000031672,Got2,mouse,"glutamatic-oxaloacetic transaminase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:95792]"
NUDT1,human,ENSG00000106268,ENSMUSG00000036639,Nudt1,mouse,nudix (nucleoside diphosphate linked moiety X)-type motif 1 [Source:MGI Symbol;Acc:MGI:109280]
PPP3CA,human,ENSG00000138814,ENSMUSG00000028161,Ppp3ca,mouse,"protein phosphatase 3, catalytic subunit, alpha isoform [Source:MGI Symbol;Acc:MGI:107164]"
CPSF1,human,ENSG00000071894,ENSMUSG00000034022,Cpsf1,mouse,cleavage and polyadenylation specific factor 1 [Source:MGI Symbol;Acc:MGI:2679722]
Cstf3,human,ENSG00000176102,ENSMUSG00000027176,Cstf3,mouse,"cleavage stimulation factor, 3' pre-RNA, subunit 3 [Source:MGI Symbol;Acc:MGI:1351825]"
ENAH,human,ENSG00000154380,ENSMUSG00000022995,Enah,mouse,ENAH actin regulator [Source:MGI Symbol;Acc:MGI:108360]
MTDH,human,ENSG00000147649,ENSMUSG00000022255,Mtdh,mouse,metadherin [Source:MGI Symbol;Acc:MGI:1914404]
TLK2,human,ENSG00000146872,ENSMUSG00000020694,Tlk2,mouse,tousled-like kinase 2 (Arabidopsis) [Source:MGI Symbol;Acc:MGI:1346023]
CKAP4,human,ENSG00000136026,ENSMUSG00000046841,Ckap4,mouse,cytoskeleton-associated protein 4 [Source:MGI Symbol;Acc:MGI:2444926]
LARP6,human,ENSG00000166173,ENSMUSG00000034839,Larp6,mouse,"La ribonucleoprotein domain family, member 6 [Source:MGI Symbol;Acc:MGI:1914807]"
Ddx39b,human,ENSG00000198563,ENSMUSG00000019432,Ddx39b,mouse,DEAD box helicase 39b [Source:MGI Symbol;Acc:MGI:99240]
MRTO4,human,ENSG00000053372,ENSMUSG00000028741,Mrto4,mouse,"mRNA turnover 4, ribosome maturation factor [Source:MGI Symbol;Acc:MGI:1917152]"
TBL1XR1,human,ENSG00000177565,ENSMUSG00000027630,Tbl1xr1,mouse,transducin (beta)-like 1X-linked receptor 1 [Source:MGI Symbol;Acc:MGI:2441730]
NUP133,human,ENSG00000069248,ENSMUSG00000039509,Nup133,mouse,nucleoporin 133 [Source:MGI Symbol;Acc:MGI:2442620]
RAF1,human,ENSG00000132155,ENSMUSG00000000441,Raf1,mouse,v-raf-leukemia viral oncogene 1 [Source:MGI Symbol;Acc:MGI:97847]
CDK11B,human,ENSG00000248333,ENSMUSG00000029062,Cdk11b,mouse,cyclin-dependent kinase 11B [Source:MGI Symbol;Acc:MGI:88353]
Ssr1,human,ENSG00000124783,ENSMUSG00000021427,Ssr1,mouse,"signal sequence receptor, alpha [Source:MGI Symbol;Acc:MGI:105082]"
BTF3,human,ENSG00000145741,,,mouse,
EBP,human,ENSG00000147155,ENSMUSG00000031168,Ebp,mouse,phenylalkylamine Ca2+ antagonist (emopamil) binding protein [Source:MGI Symbol;Acc:MGI:107822]
TGFBI,human,ENSG00000120708,ENSMUSG00000035493,Tgfbi,mouse,"transforming growth factor, beta induced [Source:MGI Symbol;Acc:MGI:99959]"
ZMIZ2,human,ENSG00000122515,ENSMUSG00000041164,Zmiz2,mouse,"zinc finger, MIZ-type containing 2 [Source:MGI Symbol;Acc:MGI:106374]"
TLE2,human,ENSG00000065717,ENSMUSG00000034771,Tle2,mouse,transducin-like enhancer of split 2 [Source:MGI Symbol;Acc:MGI:104635]
OTULIN,human,ENSG00000154124,ENSMUSG00000046034,Otulin,mouse,OTU deubiquitinase with linear linkage specificity [Source:MGI Symbol;Acc:MGI:3577015]
Rab31,human,ENSG00000168461,ENSMUSG00000056515,Rab31,mouse,"RAB31, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1914603]"
SLC35E1,human,ENSG00000127526,ENSMUSG00000019731,Slc35e1,mouse,"solute carrier family 35, member E1 [Source:MGI Symbol;Acc:MGI:2142403]"
MIOS,human,ENSG00000164654,ENSMUSG00000042447,Mios,mouse,meiosis regulator for oocyte development [Source:MGI Symbol;Acc:MGI:2182066]
NAA30,human,ENSG00000139977,ENSMUSG00000036282,Naa30,mouse,"N(alpha)-acetyltransferase 30, NatC catalytic subunit [Source:MGI Symbol;Acc:MGI:1922259]"
PFN1,human,ENSG00000108518,ENSMUSG00000018293,Pfn1,mouse,profilin 1 [Source:MGI Symbol;Acc:MGI:97549]
PPP1R8,human,ENSG00000117751,ENSMUSG00000028882,Ppp1r8,mouse,"protein phosphatase 1, regulatory subunit 8 [Source:MGI Symbol;Acc:MGI:2140494]"
MCM4,human,ENSG00000104738,ENSMUSG00000022673,Mcm4,mouse,minichromosome maintenance complex component 4 [Source:MGI Symbol;Acc:MGI:103199]
RAB9A,human,ENSG00000123595,ENSMUSG00000079316,Rab9,mouse,"RAB9, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1890695]"
GNB2L1,human,,,,mouse,
Rps19l1,human,,,,mouse,
Emc4,human,ENSG00000128463,ENSMUSG00000027131,Emc4,mouse,ER membrane protein complex subunit 4 [Source:MGI Symbol;Acc:MGI:1915282]
TMEM109,human,ENSG00000110108,ENSMUSG00000034659,Tmem109,mouse,transmembrane protein 109 [Source:MGI Symbol;Acc:MGI:1915789]
BZW2,human,ENSG00000136261,ENSMUSG00000020547,Bzw2,mouse,basic leucine zipper and W2 domains 2 [Source:MGI Symbol;Acc:MGI:1914162]
PLCB3,human,ENSG00000149782,ENSMUSG00000024960,Plcb3,mouse,"phospholipase C, beta 3 [Source:MGI Symbol;Acc:MGI:104778]"
Abi1,human,ENSG00000136754,ENSMUSG00000058835,Abi1,mouse,abl interactor 1 [Source:MGI Symbol;Acc:MGI:104913]
CNOT3,human,ENSG00000088038,ENSMUSG00000035632,Cnot3,mouse,"CCR4-NOT transcription complex, subunit 3 [Source:MGI Symbol;Acc:MGI:2385261]"
RRAGB,human,ENSG00000083750,ENSMUSG00000041658,Rragb,mouse,Ras-related GTP binding B [Source:MGI Symbol;Acc:MGI:3038613]
GLT8D2,human,ENSG00000120820,ENSMUSG00000020251,Glt8d2,mouse,glycosyltransferase 8 domain containing 2 [Source:MGI Symbol;Acc:MGI:1922032]
SLC25A22,human,ENSG00000177542,ENSMUSG00000019082,Slc25a22,mouse,"solute carrier family 25 (mitochondrial carrier, glutamate), member 22 [Source:MGI Symbol;Acc:MGI:1915517]"
LRCH3,human,ENSG00000186001,ENSMUSG00000022801,Lrch3,mouse,leucine-rich repeats and calponin homology (CH) domain containing 3 [Source:MGI Symbol;Acc:MGI:1917394]
SEC16A,human,ENSG00000148396,ENSMUSG00000026924,Sec16a,mouse,"SEC16 homolog A, endoplasmic reticulum export factor [Source:MGI Symbol;Acc:MGI:2139207]"
